Date,Revenue,NetIncome,Assets,Liabilities,Equity,RevenueGrowth,OperatingMargin,DebtRatio,ROE
2024-03-31,83083000000,8220000000,377918000000,164866000000,205250000000,,,0.4362480749792283,0.04004872107186358
2024-06-30,93060000000,9240000000,460707000000,184441000000,268405000000,0.12008473454256596,,0.40034338527524,0.03442558819694119
2024-09-30,266159000000,8610000000,461916000000,185516000000,268592000000,1.8600795185901569,,0.40162280587812504,0.0320560552808721
2024-12-31,349585000000,33680000000,453475000000,182869000000,263705000000,0.31344421943274514,,0.403261480787254,0.12771847329402172
2025-03-31,83130000000,7713000000,451908000000,182102000000,262720000000,-0.7622037558819743,,0.40296254989953706,0.029358252131546893
2025-06-30,164636000000,14795000000,447597000000,177635000000,262593000000,0.9804643329724527,,0.3968636965842041,0.056341943616166464
2025-09-30,249930000000,22343000000,454340000000,186117000000,260561000000,0.5180762409193616,,0.4096425584364133,0.08574959414494111
2025-12-31,332238000000,28844000000,448980000000,182354000000,259386000000,0.3293242107790182,,0.40615172168025304,0.11120106713546606
