Date,Revenue,NetIncome,OperatingIncome,Assets,Liabilities,Equity,RevenueGrowth,OperatingMargin,DebtRatio,ROE
2024-03-30,210328000000,57552000000,68273000000,337411000000,263217000000,74194000000,,0.3246025255790955,0.7801079395751769,0.7756961479364908
2024-06-29,85777000000,21448000000,93625000000,331612000000,264904000000,66708000000,-0.5921750789243467,1.0914930575795376,0.7988371952764074,0.32152065719254064
2024-09-28,391035000000,93736000000,123216000000,364980000000,308030000000,56950000000,3.558739522249554,0.31510222870075566,0.8439640528248123,1.6459350307287095
2024-12-28,124300000000,36330000000,42832000000,344085000000,277327000000,66758000000,-0.6821256409272827,0.34458567980691873,0.80598398651496,0.5442044399173133
2025-03-29,95359000000,61110000000,72421000000,331233000000,264437000000,66796000000,-0.23283185840707965,0.7594563701381096,0.7983413488390347,0.9148751422240853
2025-06-28,94036000000,23434000000,28202000000,331495000000,265665000000,65830000000,-0.01387388710032611,0.2999064188183249,0.8014148026365405,0.355977517849005
2025-09-27,416161000000,112010000000,133050000000,359241000000,285508000000,73733000000,3.425549789442341,0.31970799762591884,0.7947533828265705,1.5191298333175105
2025-12-27,143756000000,42097000000,50852000000,379297000000,291107000000,88190000000,-0.6545663817609051,0.35373827875010433,0.7674909108165896,0.4773443701099898
