Date,Revenue,NetIncome,OperatingIncome,Assets,Liabilities,Equity,RevenueGrowth,OperatingMargin,DebtRatio,ROE
2024-03-31,,23662000000,25472000000,407350000000,114506000000,292844000000,,,0.28109979133423346,0.08080069934845857
2024-06-30,84742000000.0,47281000000,27425000000,414770000000,114017000000,300753000000,,0.32362936914399,0.27489210887962,0.15720873939744576
2024-09-30,88268000000.0,73582000000,28521000000,430266000000,116147000000,314119000000,0.041608647423945655,0.3231182308424344,0.26994231475412883,0.23424880379728702
2024-12-31,350018000000.0,100118000000,112390000000,450256000000,125172000000,325084000000,2.9654008247609553,0.32109777211457696,0.27800184783767456,0.30797578472025694
2025-03-31,,34540000000,30606000000,475374000000,130107000000,345267000000,0.0,,0.2736939756907193,0.10003852091280081
2025-06-30,96428000000.0,62736000000,31271000000,502053000000,139137000000,362916000000,-0.7245055968550189,0.3242937735927324,0.2771360792585643,0.17286644843434845
2025-09-30,289007000000.0,34979000000,93105000000,536469000000,149602000000,386867000000,1.9971273903845357,0.3221548266996993,0.27886420277779334,0.09041608614846963
2025-12-31,402836000000.0,132170000000,129039000000,595281000000,180016000000,415265000000,0.39386243239783125,0.32032638592380025,0.3024050826416432,0.3182786895115167
