Date,Revenue,NetIncome,Assets,Liabilities,Equity,RevenueGrowth,OperatingMargin,DebtRatio,ROE
2024-03-31,8768000000,2242900000,63943500000,51046100000,12812200000,,,0.7983000617732843,0.17505970871513088
2024-06-30,11302800000,2967000000,71874800000,58239300000,13562000000,0.28909671532846715,,0.8102881677583799,0.218773042324141
2024-09-30,31509900000,970300000,75606900000,61286200000,14240000000,1.7877959443677671,,0.8105900387398505,0.06813904494382023
2024-12-31,45043000000,10590000000,78714900000,64443300000,14192100000,0.4294872405180594,,0.8186925220002821,0.7461897816390809
2025-03-31,12728500000,2759300000,89388800000,73542000000,15764800000,-0.7174144706169661,,0.8227205197966636,0.17502917893027503
2025-06-30,28286200000,8419800000,100922600000,82573500000,18272900000,1.2222728522606747,,0.818186412161399,0.4607807189882285
2025-09-30,17600800000,5582500000,114935400000,91084600000,23793300000,-0.3777601798756991,,0.7924851699302391,0.2346248733887271
2025-12-31,65179000000,20640000000,112476000000,85941000000,26535000000,2.7031839461842644,,0.7640830043742665,0.7778405879027699
