Date,Revenue,NetIncome,Assets,Liabilities,Equity,RevenueGrowth,OperatingMargin,DebtRatio,ROE
2024-03-31,89869000000,12702000000,1070035000000,492250000000,571490000000,,,0.4600316812066895,0.02222611069310049
2024-06-30,93653000000,30348000000,1108860000000,500889000000,601697000000,0.04210573167610643,,0.45171527514744875,0.05043734637201116
2024-09-30,276517000000,26251000000,1147251000000,515445000000,629069000000,1.9525695920045272,,0.44928703483370247,0.04172992151894307
2024-12-31,371433000000,88995000000,1153881000000,502226000000,649368000000,0.3432555683737346,,0.43524938880179154,0.13704863806039103
2025-03-31,89725000000,4603000000,1164532000000,507790000000,654471000000,-0.7584355724989433,,0.43604641177743503,0.0070331611331900116
2025-06-30,182240000000,16973000000,1163968000000,493692000000,667989000000,1.0310950125383114,,0.4241456809809204,0.02540910104807115
2025-09-30,277212000000,47769000000,1225963000000,525522000000,698155000000,0.5211369622475857,,0.4286605713222993,0.06842176880492154
2025-12-31,371444000000,66968000000,1222176000000,502473000000,717419000000,0.33992756446329886,,0.41112982090959077,0.09334572962243821
