ticker,period_end,filed_date,fiscal_year,fiscal_period,revenue,gross_profit,cost_of_revenue,operating_income,ebitda,net_income,r_and_d_expense,sga_expense,interest_expense,income_tax_expense,depreciation_amortization,total_assets,current_assets,total_equity,total_liabilities,current_liabilities,long_term_debt,total_debt,cash_and_equivalents,inventory,accounts_receivable,retained_earnings,operating_cash_flow,free_cash_flow,capex,investing_cash_flow,financing_cash_flow,eps_diluted,shares_outstanding,gross_margin,operating_margin,ebitda_margin,net_margin,roe,roa,asset_turnover,current_ratio,quick_ratio,working_capital,debt_to_equity,debt_ratio,net_debt,interest_coverage,capex_to_revenue,revenue_growth_yoy,operating_income_growth_yoy,net_income_growth_yoy
AAPL,2019-12-28,2020-01-29,2020,Q1,91819000000.0,35217000000.0,56602000000.0,25569000000,,22236000000,4451000000.0,5197000000.0,785000000.0,3682000000,2816000000.0,340618000000,163231000000.0,89531000000,251087000000.0,102161000000.0,,,,4097000000.0,20970000000.0,43977000000,,,2107000000.0,,,,,0.38354806739345887,0.2784717759940753,,0.2421720994565395,0.9934436117099106,0.26112536624605864,1.0782636267020533,1.5977819324399722,1.5576785661847476,61070000000.0,,0.7371512955862579,,32.57197452229299,0.02294732027140352,,,
AAPL,2020-03-28,2020-05-01,2020,Q2,58313000000.0,22370000000.0,35943000000.0,12853000000,,11249000000,4565000000.0,4952000000.0,757000000.0,1886000000,,320400000000,143753000000.0,78425000000,241975000000.0,96094000000.0,,,,3334000000.0,15722000000.0,33182000000,,,,,,,,0.3836194330595236,0.22041397287054346,,0.1929072419529093,0.5737456168313676,0.14043695380774032,0.7280024968789014,1.4959622869273836,1.461267092638458,47659000000.0,,0.7552278401997503,,16.97886393659181,,,,
AAPL,2020-06-27,2020-07-31,2020,Q3,59685000000.0,22680000000.0,37005000000.0,13091000000,,11253000000,4758000000.0,4831000000.0,697000000.0,1884000000,,317344000000,140065000000.0,72282000000,245062000000.0,95318000000.0,,,,3978000000.0,17882000000.0,24136000000,,,,,,,,0.3799949736114602,0.21933484124989527,,0.18853983412917819,0.6227276500373538,0.14183977009176163,0.7523066451547847,1.4694496317589543,1.4277156465725256,44747000000.0,,0.7722282444287587,,18.781922525107603,,,,
AAPL,2020-09-26,2020-10-30,2020,Q4,64698000000.0,24689000000.0,40009000000.0,14775000000,,12673000000,4978000000.0,4936000000.0,634000000.0,2228000000,8240000000.0,323888000000,143713000000.0,65339000000,258549000000.0,105392000000.0,,,,4061000000.0,16120000000.0,14966000000,,,5202000000.0,,,,,0.3816037590033695,0.2283687285542057,,0.19587931620761073,0.7758306677482055,0.15651089265425086,0.7990169441288346,1.3636044481554577,1.325072111735236,38321000000.0,,0.7982666847799239,,23.30441640378549,0.08040434016507465,,,
AAPL,2020-12-26,2021-01-28,2021,Q1,111439000000.0,44328000000.0,67111000000.0,33534000000,,28755000000,5163000000.0,5631000000.0,638000000.0,4824000000,2666000000.0,354054000000,154106000000.0,66224000000,287830000000.0,132507000000.0,,,,4973000000.0,27101000000.0,14301000000,,,3500000000.0,,,,,0.39777815665969724,0.30091799100853384,,0.25803354301456405,1.7368325682532013,0.3248656984527784,1.2590056883978151,1.16300270929083,1.125472616541013,21599000000.0,,0.8129550859473413,,52.56112852664577,0.031407317007510836,0.2136812642263584,0.3115100316789863,0.2931732325957906
AAPL,2021-03-27,2021-04-29,2021,Q2,89584000000.0,38079000000.0,51505000000.0,27503000000,,23630000000,5262000000.0,5314000000.0,670000000.0,4381000000,,337158000000,121465000000.0,69178000000,267980000000.0,106385000000.0,,,,5219000000.0,18503000000.0,15261000000,,,,,,,,0.4250647437042329,0.30700794784783,,0.2637747812109305,1.3663303362340629,0.28034334051097703,1.0628132804204558,1.1417493067631714,1.0926916388588617,15080000000.0,,0.7948202326505673,,41.049253731343285,,0.5362612110507091,1.1398117171088462,1.1006311672148636
AAPL,2021-06-26,2021-07-28,2021,Q3,81434000000.0,35255000000.0,46179000000.0,24126000000,,21744000000,5717000000.0,5412000000.0,697000000.0,2625000000,,329840000000,114423000000.0,64280000000,265560000000.0,107754000000.0,,,,5178000000.0,17475000000.0,9233000000,,,,,,,,0.4329272785323084,0.296264459562345,,0.2670137780288332,1.3530802738021157,0.2636914867814698,0.9875576036866359,1.0618909738849602,1.0138370733337045,6669000000.0,,0.8051176327916566,,34.614060258249644,,0.36439641450950827,0.8429455351004507,0.9322847240735804
AAPL,2021-09-25,2021-10-29,2021,Q4,83360000000.0,35174000000.0,48186000000.0,23786000000,,20551000000,5772000000.0,5616000000.0,640000000.0,2697000000,8618000000.0,351002000000,134836000000.0,63090000000,287912000000.0,125481000000.0,,,,6580000000.0,26278000000.0,5562000000,,,7585000000.0,,,,,0.4219529750479846,0.28534069097888676,,0.2465331094049904,1.3029640196544618,0.23419809573734623,0.949966097059276,1.0745531195957954,1.0221149018576519,9355000000.0,,0.8202574344305731,,37.165625,0.09099088291746642,0.2884478654672478,0.6098815566835871,0.6216365501459796
AAPL,2021-12-25,2022-01-28,2022,Q1,123945000000.0,54243000000.0,69702000000.0,41488000000,,34630000000,6306000000.0,6449000000.0,694000000.0,6611000000,2697000000.0,381191000000,153154000000.0,71932000000,309259000000.0,147574000000.0,117800000000.0,,,5876000000.0,30213000000.0,14435000000,,,2803000000.0,,,,,0.43763766186615033,0.3347291137197951,,0.2793981201339304,1.9257076127453707,0.36338738322783065,1.3006078317693754,1.0378115386179136,0.9979942266252863,5580000000.0,,0.811296699030145,,59.78097982708934,0.022614869498567912,0.11222283042740872,0.237192103536709,0.20431229351417146
AAPL,2022-03-26,2022-04-29,2022,Q2,97278000000.0,42559000000.0,54719000000.0,29979000000,,25010000000,6387000000.0,6193000000.0,670000000.0,5129000000,,350662000000,118180000000.0,67399000000,283263000000.0,127508000000.0,113000000000.0,,,5460000000.0,20815000000.0,12712000000,,,,,,,,0.437498715022924,0.30817862209338187,,0.25709821336787353,1.484295019213935,0.28528896772390505,1.1096497481905652,0.9268438058788468,0.88402296326505,-9328000000.0,,0.807794970655503,,44.744776119402985,,0.08588587247722808,0.09002654255899356,0.05840033855268726
